"choice1","choice2","answer"
113,115,445
113,115,445
113,115,445
113,115,445
113,115,445
113,115,445
113,115,445
113,116,447
113,116,447
113,116,447
113,116,447
114,115,447
114,115,447
114,115,447
114,115,447
114,116,446
114,116,446
114,116,446
114,116,446
114,116,446
114,116,446
114,116,446
113,115,445
113,115,445
113,115,445
113,115,445
113,115,445
113,115,445
113,115,445
113,116,447
113,116,447
113,116,447
113,116,447
114,115,447
114,115,447
114,115,447
114,115,447
114,116,446
114,116,446
114,116,446
114,116,446
114,116,446
114,116,446
114,116,446
