"choice1","choice2","choice3","choice4","choice5","choice6","choice7","choice8","choice9","choice10","answer"
1,4,6,9,11,13,15,17,19,99,393
1,4,6,9,11,13,15,17,20,99,393
1,4,6,9,11,13,15,18,19,99,393
1,4,6,9,11,13,15,18,20,99,393
1,4,6,9,11,13,16,17,19,99,393
1,4,6,9,11,13,16,17,20,99,393
1,4,6,9,11,13,16,18,19,99,393
1,4,6,9,11,13,16,18,20,99,393
1,4,6,9,11,14,15,17,19,99,393
1,4,6,9,11,14,15,17,20,99,393
1,4,6,9,11,14,15,18,19,99,393
1,4,6,9,11,14,15,18,20,99,393
1,4,6,9,11,14,16,17,19,99,393
1,4,6,9,11,14,16,17,20,99,393
1,4,6,9,11,14,16,18,19,99,393
1,4,6,9,11,14,16,18,20,99,393
1,4,6,9,12,13,15,17,19,99,393
1,4,6,9,12,13,15,17,20,99,393
1,4,6,9,12,13,15,18,19,99,393
1,4,6,9,12,13,15,18,20,99,393
1,4,6,9,12,13,16,17,19,99,393
1,4,6,9,12,13,16,17,20,99,393
1,4,6,9,12,13,16,18,19,99,393
1,4,6,9,12,13,16,18,20,99,393
1,4,6,9,12,14,15,17,19,99,393
1,4,6,9,12,14,15,17,20,99,393
1,4,6,9,12,14,15,18,19,99,393
1,4,6,9,12,14,15,18,20,99,393
1,4,6,9,12,14,16,17,19,99,393
1,4,6,9,12,14,16,17,20,99,393
1,4,6,9,12,14,16,18,19,99,393
1,4,6,9,12,14,16,18,20,99,393
1,4,6,10,11,13,15,17,19,99,393
1,4,6,10,11,13,15,17,20,99,393
1,4,6,10,11,13,15,18,19,99,393
1,4,6,10,11,13,15,18,20,99,393
1,4,6,10,11,13,16,17,19,99,393
1,4,6,10,11,13,16,17,20,99,393
1,4,6,10,11,13,16,18,19,99,393
1,4,6,10,11,13,16,18,20,99,393
1,4,6,10,11,14,15,17,19,99,393
1,4,6,10,11,14,15,17,20,99,393
1,4,6,10,11,14,15,18,19,99,393
1,4,6,10,11,14,15,18,20,99,393
1,4,6,10,11,14,16,17,19,99,393
1,4,6,10,11,14,16,17,20,99,393
1,4,6,10,11,14,16,18,19,99,393
1,4,6,10,11,14,16,18,20,99,393
1,4,6,10,12,13,15,17,19,99,393
1,4,6,10,12,13,15,17,20,99,393
1,4,6,10,12,13,15,18,19,99,393
1,4,6,10,12,13,15,18,20,99,393
1,4,6,10,12,13,16,17,19,99,393
1,4,6,10,12,13,16,17,20,99,393
1,4,6,10,12,13,16,18,19,99,393
1,4,6,10,12,13,16,18,20,99,393
1,4,6,10,12,14,15,17,19,99,393
1,4,6,10,12,14,15,17,20,99,393
1,4,6,10,12,14,15,18,19,99,393
1,4,6,10,12,14,15,18,20,99,393
1,4,6,10,12,14,16,17,19,99,393
1,4,6,10,12,14,16,17,20,99,393
1,4,6,10,12,14,16,18,19,99,393
1,4,6,10,12,14,16,18,20,99,393
1,5,7,9,12,14,15,17,19,99,390
1,5,7,9,12,14,15,17,20,99,390
1,5,7,9,12,14,15,18,19,99,390
1,5,7,9,12,14,15,18,20,99,390
1,5,7,9,12,14,16,17,19,99,390
1,5,7,9,12,14,16,17,20,99,390
1,5,7,9,12,14,16,18,19,99,390
1,5,7,9,12,14,16,18,20,99,390
1,5,7,10,11,14,15,17,19,99,391
1,5,7,10,11,14,15,17,20,99,391
1,5,7,10,11,14,15,18,19,99,391
1,5,7,10,11,14,15,18,20,99,391
1,5,7,10,11,14,16,17,19,99,391
1,5,7,10,11,14,16,17,20,99,391
1,5,7,10,11,14,16,18,19,99,391
1,5,7,10,11,14,16,18,20,99,391
1,5,7,10,12,13,15,17,19,99,392
1,5,7,10,12,13,15,17,20,99,392
1,5,7,10,12,13,15,18,19,99,392
1,5,7,10,12,13,15,18,20,99,392
1,5,7,10,12,13,16,17,19,99,392
1,5,7,10,12,13,16,17,20,99,392
1,5,7,10,12,13,16,18,19,99,392
1,5,7,10,12,13,16,18,20,99,392
1,5,7,10,12,14,15,17,19,99,394
1,5,7,10,12,14,15,17,20,99,394
1,5,7,10,12,14,15,18,19,99,394
1,5,7,10,12,14,15,18,20,99,394
1,5,7,10,12,14,16,17,19,99,394
1,5,7,10,12,14,16,17,20,99,394
1,5,7,10,12,14,16,18,19,99,394
1,5,7,10,12,14,16,18,20,99,394
2,4,6,9,11,13,15,17,19,99,393
2,4,6,9,11,13,15,17,20,99,393
2,4,6,9,11,13,15,18,19,99,393
2,4,6,9,11,13,15,18,20,99,393
2,4,6,9,11,13,16,17,19,99,393
2,4,6,9,11,13,16,17,20,99,393
2,4,6,9,11,13,16,18,19,99,393
2,4,6,9,11,13,16,18,20,99,393
2,4,6,9,11,14,15,17,19,99,393
2,4,6,9,11,14,15,17,20,99,393
2,4,6,9,11,14,15,18,19,99,393
2,4,6,9,11,14,15,18,20,99,393
2,4,6,9,11,14,16,17,19,99,393
2,4,6,9,11,14,16,17,20,99,393
2,4,6,9,11,14,16,18,19,99,393
2,4,6,9,11,14,16,18,20,99,393
2,4,6,9,12,13,15,17,19,99,393
2,4,6,9,12,13,15,17,20,99,393
2,4,6,9,12,13,15,18,19,99,393
2,4,6,9,12,13,15,18,20,99,393
2,4,6,9,12,13,16,17,19,99,393
2,4,6,9,12,13,16,17,20,99,393
2,4,6,9,12,13,16,18,19,99,393
2,4,6,9,12,13,16,18,20,99,393
2,4,6,9,12,14,15,17,19,99,393
2,4,6,9,12,14,15,17,20,99,393
2,4,6,9,12,14,15,18,19,99,393
2,4,6,9,12,14,15,18,20,99,393
2,4,6,9,12,14,16,17,19,99,393
2,4,6,9,12,14,16,17,20,99,393
2,4,6,9,12,14,16,18,19,99,393
2,4,6,9,12,14,16,18,20,99,393
2,4,6,10,11,13,15,17,19,99,393
2,4,6,10,11,13,15,17,20,99,393
2,4,6,10,11,13,15,18,19,99,393
2,4,6,10,11,13,15,18,20,99,393
2,4,6,10,11,13,16,17,19,99,393
2,4,6,10,11,13,16,17,20,99,393
2,4,6,10,11,13,16,18,19,99,393
2,4,6,10,11,13,16,18,20,99,393
2,4,6,10,11,14,15,17,19,99,393
2,4,6,10,11,14,15,17,20,99,393
2,4,6,10,11,14,15,18,19,99,393
2,4,6,10,11,14,15,18,20,99,393
2,4,6,10,11,14,16,17,19,99,393
2,4,6,10,11,14,16,17,20,99,393
2,4,6,10,11,14,16,18,19,99,393
2,4,6,10,11,14,16,18,20,99,393
2,4,6,10,12,13,15,17,19,99,393
2,4,6,10,12,13,15,17,20,99,393
2,4,6,10,12,13,15,18,19,99,393
2,4,6,10,12,13,15,18,20,99,393
2,4,6,10,12,13,16,17,19,99,393
2,4,6,10,12,13,16,17,20,99,393
2,4,6,10,12,13,16,18,19,99,393
2,4,6,10,12,13,16,18,20,99,393
2,4,6,10,12,14,15,17,19,99,393
