"choice1","choice2","choice3","choice4","choice5","answer"
1,3,5,7,10,12
1,3,5,7,11,12
1,3,5,8,10,12
1,3,5,8,11,12
1,3,5,9,10,12
1,3,5,9,11,12
1,3,6,7,10,12
1,3,6,7,11,12
1,3,6,8,10,12
1,3,6,8,11,12
1,3,6,9,10,12
1,3,6,9,11,12
1,4,5,7,10,12
1,4,5,7,11,12
1,4,5,8,10,12
1,4,5,8,11,12
1,4,5,9,10,12
1,4,5,9,11,12
1,4,6,7,10,12
1,4,6,7,11,12
1,4,6,8,10,12
1,4,6,8,11,12
1,4,6,9,10,12
1,4,6,9,11,12
2,3,5,7,10,12
2,3,5,7,11,12
2,3,5,8,10,12
2,3,5,8,11,12
2,3,5,9,10,12
2,3,5,9,11,12
2,3,6,7,10,12
2,3,6,7,11,12
2,3,6,8,10,12
2,3,6,8,11,12
2,3,6,9,10,12
2,3,6,9,11,12
2,4,5,7,10,12
2,4,5,7,11,12
2,4,5,8,10,12
2,4,5,8,11,12
2,4,5,9,10,12
2,4,5,9,11,12
2,4,6,7,10,12
2,4,6,7,11,12
2,4,6,8,10,12
2,4,6,8,11,12
2,4,6,9,10,12
2,4,6,9,11,12
